Station,Services,Div,Line,Opened,Borough,Neighborhood,Ridership (2019),Rank,
Castle Hill Avenue,6,IRT,Pelham Line,"October 24, 1920",The Bronx,Castle Hill,"1,954,511",243,
Cathedral Parkway–110th Street,B C,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Upper West Side,"2,396,624",197,
Cathedral Parkway–110th Street,1,IRT,Broadway–Seventh Avenue Line,"October 27, 1904",Manhattan,Morningside Heights,"3,703,893",135,
Carroll Street,F G,IND,Culver Line,"October 7, 1933",Brooklyn,Carroll Gardens,"3,615,019",139,
Central Avenue,M R,BMT,Myrtle Avenue Line,"July 20, 1889",Brooklyn,Bushwick,"1,472,067",301,
Central Park North–110th Street,2 3,IRT,Lenox Avenue Line,"November 23, 1904",Manhattan,Harlem,"2,666,985",181,
Chambers Street,1 2 3,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Financial District,"5,941,546",70,
"Chambers Street–World Trade Center/
Park Place/Cortlandt Street†",A C E 2 3 R W J,IND,Eighth Avenue Line,"September 10, 1932",Manhattan,Financial District,"20,820,549",9,
,2 3,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",,,,,
,R W,BMT,Broadway Line,"January 5, 1918",,,,,
Chauncey Street,J,BMT,Jamaica Line,"July 18, 1885",Brooklyn,Bedford–Stuyvesant,"1,076,510",349,
Christopher Street–Sheridan Square,1,IRT,Broadway–Seventh Avenue Line,"July 1, 1918",Manhattan,Greenwich Village,"3,412,332",146,
Church Avenue,B Q,BMT,Brighton Line,"August 23, 1907",Brooklyn,Flatbush,"5,061,013",90,
Church Avenue†,F G,IND,Culver Line,"October 7, 1933",Brooklyn,Kensington,"3,051,736",166,
Church Avenue,2 5,IRT,Nostrand Avenue Line,"August 23, 1920",Brooklyn,East Flatbush,"2,862,033",172,
City Hall,R W,BMT,Broadway Line,"January 5, 1918",Manhattan,Civic Center,"1,710,380",273,
